align_results_201904222126.csvid,nama
4,KEUDE BAKONGAN
5,UJONG MANGKI
6,UJONG PADANG
7,GAMPONG DRIEN
10,FAJAR HARAPAN
11,KRUENG BATEE
12,PASIE KUALA ASAHAN
13,GUNUNG PULO
14,PULO IE I
15,JAMBO MANYANG
16,SIMPANG EMPAT
17,LIMAU PURUT
18,PULO KAMBING
19,KAMPUNG PAYA
20,KRUENG BATU
21,KRUENG KLUET
22,ALUR MAS
23,SIMPANG LHEE
24,SUAQ GERINGGENG
25,PASIE KUALA BA U
26,KEDAI PADANG
27,SIMPANG DUA
28,SIMPANG TIGA
30,SUAQ BAKONG
31,RANTAU BENUANG
32,BARAT DAYA
33,SIALANG
34,KAPEH
35,PULO IE
36,KEDAI RUNDING
37,KEDAI KANDANG
38,GAMPONG LUAR
39,UJUNG
40,JUA
41,PASI MEURAPAT
42,UJUNG PASIR
43,GEULUMBUK
44,PASIE LEMBANG
45,UJUNG PADANG
46,INDRA DAMAI
48,BAKAU HULU
49,PADANG BAKAU
50,MANGGIS HARAPAN
51,PASAR LAMA
52,APHA
53,UJUNG BATU
54,PAWOH
55,DALAM
56,KOTA PALAK
57,CACANG
58,TENGAH PISANG
59,PISANG
60,HULU PISANG
61,TENGAH BARU
62,LEMBAH BARU
63,PADANG BARU
65,KUTA BULOH II
66,KUTA BULOH I
67,IE DINGEN
68,DRIEN JALO
69,JAMBO PAPEUN
70,BUKET MEUH
71,BLANG KUALA
72,ROT TEUNGOH
73,ALUE BARO
74,LADANG TUHA
75,LHOK MAMPLAM
76,ARUN TUNGGAI
77,BLANG TEUNGOH
78,BLANG BLADEH
79,IE BUBOH
80,KEUDE MEUKEK
81,KUTA BARO
82,TANJUNG HARAPAN
83,LABUHAN TAROK
84,LHOK AMAN
85,ALUE MEUTUAH
86,LADANG BARO
88,DALAM
89,SUBARANG
90,KUTA BARU
91,GUNUNG KETEK
92,LADANG PANTON LUAS
93,MADAT
94,ALUR SEUMERAH
95,TENGAH
96,GUNUNG CUT
97,ALUR PINANG
98,KUTA BLANG
99,BATEE TUNGGAI
100,UJUNG TANAH
101,UJUNG KAMPUNG
102,JILATANG
103,LUAR
104,LUBUK LAYU
105,SUAQ HULU
106,TAMPANG
107,PAYONAN GADANG
108,GADANG
109,BARU
110,LADANG KASIK PUTIH
111,AIR SIALANG HILIR
112,AIR SIALANG HULU
113,AIR SIALANG TENGAH
114,BALAI
115,ARAFAH
117,SIKULAT
118,SAWANG I
119,MEULIGO
120,LHOK PAWOH
121,SAWANG II
122,UJUNG KARANG
123,TRIENG MEUDEURO BAROH
124,TRIENG MEUDEURO TUNONG
125,PANTON LUAS
126,SIMPANG TIGA
127,KUTA BARO
128,BLANG GEULINGGANG
129,MUTIARA
130,UJUNG PADANG
131,SAWANG BA'U
133,LHOK KEUTAPANG
134,HILIR
135,PADANG
136,HULU
137,JAMBO APHA
138,TEPI AIR
139,PASAR
140,LHOK BENGKUANG
141,PANTON LUAS
142,GUNUNG KERAMBIL
143,AIR BERUDANG
144,BATU ITAM
145,PANJUPIAN
146,LHOK RUKAM
147,AIR PINANG
149,KEUDE TRUMON
150,UJONG TANOH
151,SIGLENG
152,IE MEUDAMA
153,TEUPIN TINGGI
154,KUTA BARO
155,PANTON BILIE
157,KUTA PADANG
158,RAKET
159,PADANG HARAPAN
160,SEUNEUBOK JAYA
162,LADANG TEUNGOH
163,PUCOK KRUENG
164,SILOLO
165,KAMPUNG BARU
166,PANTON BILI
167,PAYA ATEUK
168,LADANG TUHA
169,MATA IE
170,UJUNG BATEE
171,LHOK SIALANG CUT
172,SEUNEUBOK
173,IE MIRAH
174,PASIE RASIAN
175,UJUNG PADANG RASIAN
176,KRUENG KALEE
177,LHOK SIALANG RAYEUK
178,TEUPIN GAJAH
179,UJUNG PADANG ASAHAN
180,PULO IE II
181,GAMPONG  BARO
183,UJONG PULO CUT
184,UJONG PULO RAYEUK
185,PASIE SEUBADEH
186,LADANG RIMBA
187,SAWAH TINGKEUM
188,SIMPANG
189,SEULEUKAT
191,KOTO
192,JAMBO PAPAN
193,KOTO INDARUNG
194,LAWE MELANG
195,MALAKA
196,KAMPUNG SAWAH
197,KAMPUNG PADANG
198,PULO AIR
199,MERSAK
201,KAMPUNG TINGGI
202,ALUR KEUJRUN
203,SIURAI URAI
205,SAPIK
206,DURIAN KAWAN
207,ALAI
208,PAYA DAPUR
209,LAWE BULUH DIDI
210,LAWE SAWAH
211,PUCUK LEMBANG
214,KRUENG LUAS
215,PINTO RIMBA
216,SEUNEUBOK PUNTO
217,ALUE BUJOK
218,TITI POBEN
219,JAMBO DALEM
220,KAPA SEUSAK
221,SEUNEUBOK PUSAKA
223,TEUNGOH IBOH
224,KUTA IBOH
225,PEULOKAN
226,TUTONG
227,UJUNG PADANG
228,BLANG BARU
229,SUAK LOKAN
230,PULO IE
231,BLANG POROH
232,KUTA TRIENG
233,IKU LHUENG
234,PANTON PAWOH
235,PANTE GEULIMA
237,GUNUNG ROTAN
238,BEUTONG
239,PEUNEULOP
240,LIMAU SARING
241,AUR PEULUMAT
242,PADANG PEULUMAT
243,TENGAH PEULUMAT
244,PAYA PEULUMAT
245,KEUMUMU HILIR
246,KEUMUMU HULU
247,KEUMUMU SEBERANG
249,BUKIT GADENG
250,RAMBONG
251,SEUNEUBOK KEURANJI
252,SEUNEUBOK ALUR BULOH
253,UJONG TANOH
254,UJONG GUNONG CUT
255,UJONG GUNUNG RAYEUK
256,BEUTONG
257,JAMBO KEUPOK
258,ALURDUAMAS
260,LADANG RIMBA
261,GUNONG KAPHO
262,KAMPONG TEUNGOH
263,KRUENG BATEE
264,JAMBO PAPEUN
265,COT BAYU
266,NACA
267,IE JEUREUNEH
268,LHOK RAYA
271,NGKERAN
272,PASIR BANGUN
273,RUMAH KAMPUNG
274,KUBU
275,LAWE KONGKER
276,KUTA CINGKAM II
277,MUARA BARU
278,KUTA BATU I
279,KUTA CINGKAM I
280,KUTA BATU II
281,LAWE SEMPILANG
282,PERAPAT BATU NUNGGUL
283,PULO SEPANG
284,RIH MBELANG
285,KUTE BATU BARU
286,DARUL AMIN
287,LAWE LUBANG INDAH
288,BATU HAMPARAN
289,PAYE MUNJE
290,PULO NDADAP
291,PASIR NUNGGUL
292,CINGKAM MEKHANGGUN
293,PINTU KHIMBE
294,LAWE KONGKER HILIR
295,PULO GADUNG
296,PASIKH PEKHMATE
297,PASIKH NUNANG
298,DELENG KUKUSEN
300,BUKIT MERDEKA
301,DARUL AMAN
302,LAWE KESUMPAT
303,LAWE TUA GABUNGAN
